   ,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_amount,Ad_Date,Location,Device,Keyword,CTR,CPC,Conversion Rate,Cost per conversion,Return on AD spend
A2432,Data Analytics Course,93,4518.5,$192.81,22,7,7.50%,"$1,726",18/11/2024,Hyderabad,Desktop,Learn Data Analytics,2.06%,$2.07,7.53%,$27.54,8.95
A2433,Data Analytics Course,198,5860,$185.25,24,9,4.10%,"$1,950",11/1/2024,Hyderabad,Tablet,Data Analytics Training,3.38%,$0.94,4.55%,$20.58,10.53
A2434,Data Analytics Course,174,4169,$189.36,23,8,4.60%,"$1,110",14/11/2024,Hyderabad,Tablet,Data Analytics Course,4.17%,$1.09,4.60%,$23.67,5.86
A2435,Data Analytics Course,193,5831,$215.57,24,5,0.00%,"$1,265",14/11/2024,Hyderabad,Mobile,Online Data Analytics,3.31%,$1.12,2.59%,$43.11,5.87
A2436,Data Analytics Course,117,5269,$196.10,26,0,0.00%,"$1,096",5/11/2024,Hyderabad,Desktop,Online Data Analytics,2.22%,$1.68,0.00%,$0.00,5.59
A2437,Data Analytics Course,147,5793,$240.32,25,5,4.90%,"$1,645",27/11/2024,Hyderabad,Tablet,Data Analytics Course,2.54%,$1.63,3.40%,$48.06,6.85
A2439,Data Analytics Course,194,4297,$237.87,22,3,0.00%,"$1,739",29/11/2024,Hyderabad,Desktop,Data Analytics Course,4.51%,$1.23,1.55%,$79.29,7.31
A2440,Data Analytics Course,112,3961,$214.45,13,7,0.00%,"$1,594",17/11/2024,Hyderabad,Desktop,Analytics For Data,2.83%,$1.91,6.25%,$30.64,7.43
A2441,Data Analytics Course,88,5063,$195.20,22,3,3.40%,"$1,460",20/11/2024,Hyderabad,Mobile,Analytics For Data,1.74%,$2.22,3.41%,$65.07,7.48
A2442,Data Analytics Course,172,5635,$200.16,21,7,3.60%,"$1,727",14/11/2024,Hyderabad,Mobile,Data Analytics Online,3.05%,$1.16,4.07%,$28.59,8.63
A2443,Data Analytics Course,81,4404,$239.62,11,4,3.50%,"$1,814",21/11/2024,Hyderabad,Mobile,Data Analytics Course,1.84%,$2.96,4.94%,$59.91,7.57
A2444,Data Analytics Course,142,4312,$213.54,21,7,4.90%,"$1,666",20/11/2024,Hyderabad,Desktop,Learn Data Analytics,3.29%,$1.50,4.93%,$30.51,7.80
A2445,Data Analytics Course,111,3302,$193.18,30,10,0.00%,"$1,783",19/11/2024,Hyderabad,Mobile,Analytics For Data,3.36%,$1.74,9.01%,$19.32,9.23
A2446,Data Analytics Course,81,3575,$192.71,27,4,4.90%,"$1,158",11/11/2024,Hyderabad,Tablet,Online Data Analytics,2.27%,$2.38,4.94%,$48.18,6.01
A2447,Data Analytics Course,112,5055,$213.36,26,5,5.80%,"$1,959",29/11/2024,Hyderabad,Desktop,Data Analytics Training,2.22%,$1.91,4.46%,$42.67,9.18
A2448,Data Analytics Course,101,5415,$236.41,13,10,3.90%,"$1,832",15/11/2024,Hyderabad,Tablet,Learn Data Analytics,1.87%,$2.34,9.90%,$23.64,7.75
A2449,Data Analytics Course,166,3118,$212.46,25,7,4.20%,"$1,813",14/11/2024,Hyderabad,Tablet,Online Data Analytics,5.32%,$1.28,4.22%,$30.35,8.53
A2450,Data Analytics Course,0,5271,$215.57,14,8,0.00%,"$1,629",22/11/2024,Hyderabad,Mobile,Data Analytics Online,0.00%,$0.00,0.00%,$26.95,7.56
A2451,Data Analytics Course,148,4518.5,$214.26,21,8,0.00%,"$1,629",13/11/2024,Hyderabad,Tablet,Data Analytics Online,3.28%,$1.45,5.41%,$26.78,7.60
A2452,Data Analytics Course,126,5250,$239.73,30,4,3.20%,"$1,070",23/11/2024,Hyderabad,Tablet,Analytics For Data,2.40%,$1.90,3.17%,$59.93,4.46
A2453,Data Analytics Course,119,4405,$233.66,25,3,3.90%,"$1,407",12/11/2024,Hyderabad,Desktop,Data Analytics Course,2.70%,$1.96,2.52%,$77.89,6.02
A2454,Data Analytics Course,189,5060,$236.54,26,7,4.30%,"$1,877",11/10/2024,Hyderabad,Mobile,Data Analytics Training,3.74%,$1.25,3.70%,$33.79,7.94
A2455,Data Analytics Course,167,3296,$246.85,29,8,4.80%,"$1,723",17/11/2024,Hyderabad,Desktop,Data Analytics Online,5.07%,$1.48,4.79%,$30.86,6.98
A2456,Data Analytics Course,198,3499,$209.74,30,9,4.00%,"$1,893",25/11/2024,Hyderabad,Desktop,Data Analytics Course,5.66%,$1.06,4.55%,$23.30,9.03
A2457,Data Analytics Course,95,3449,$184.55,10,10,4.10%,"$1,601",16/11/2024,Hyderabad,Mobile,Analytics For Data,2.75%,$1.94,10.53%,$18.46,8.68
A2458,Data Analytics Course,181,3738,$206.61,16,9,5.00%,"$1,868",11/9/2024,Hyderabad,Mobile,Online Data Analytics,4.84%,$1.14,4.97%,$22.96,9.04
A2460,Data Analytics Course,178,5751,$205.34,24,10,0.00%,"$1,903",20/11/2024,Hyderabad,Desktop,Data Analytics Course,3.10%,$1.15,5.62%,$20.53,9.27
A2461,Data Analytics Course,127,5050,$184.77,28,9,7.10%,"$1,906",11/2/2024,Hyderabad,Desktop,Data Analytics Online,2.51%,$1.45,7.09%,$20.53,10.32
A2462,Data Analytics Course,198,4773,$202.54,17,10,0.00%,"$1,082",19/11/2024,Hyderabad,Mobile,Data Analytics Online,4.15%,$1.02,5.05%,$20.25,5.34
A2463,Data Analytics Course,86,5652,$249.13,25,7,8.10%,"$1,981",6/11/2024,Hyderabad,Mobile,Data Analytics Training,1.52%,$2.90,8.14%,$35.59,7.95
A2464,Data Analytics Course,0,5085,$182.42,11,7,0.00%,"$1,109",4/11/2024,Hyderabad,Desktop,Online Data Analytics,0.00%,$0.00,0.00%,$26.06,6.08
A2465,Data Analytics Course,191,5070,$247.41,12,4,0.00%,"$1,266",25/11/2024,Hyderabad,Mobile,Analytics For Data,3.77%,$1.30,2.09%,$61.85,5.12
A2466,Data Analytics Course,139,5879,$197.90,24,4,2.90%,"$1,476",11/5/2024,Hyderabad,Mobile,Data Analytics Course,2.36%,$1.42,2.88%,$49.48,7.46
A2467,Data Analytics Course,197,3620,$235.19,18,7,3.60%,"$1,740",11/1/2024,Hyderabad,Mobile,Online Data Analytics,5.44%,$1.19,3.55%,$33.60,7.40
A2468,Data Analytics Course,116,4250,$216.66,10,9,7.80%,"$1,877",11/2/2024,Hyderabad,Mobile,Data Analytics Training,2.73%,$1.87,7.76%,$24.07,8.66
A2469,Data Analytics Course,192,4850,$235.42,22,10,5.20%,"$1,124",14/11/2024,Hyderabad,Desktop,Analytics For Data,3.96%,$1.23,5.21%,$23.54,4.77
A2470,Data Analytics Course,118,3815,$185.78,16,4,0.00%,"$1,093",17/11/2024,Hyderabad,Desktop,Data Analytics Online,3.09%,$1.57,3.39%,$46.45,5.88
A2471,Data Analytics Course,172,5741,$198.44,14,4,2.30%,"$1,755",11/11/2024,Hyderabad,Desktop,Analytics For Data,3.00%,$1.15,2.33%,$49.61,8.84
A2472,Data Analytics Course,174,4272,$240.77,16,7,4.10%,"$1,004",23/11/2024,Hyderabad,Desktop,Learn Data Analytics,4.07%,$1.38,4.02%,$34.40,4.17
A2473,Data Analytics Course,175,4974,$182.22,21,5,0.00%,"$1,300",23/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.52%,$1.04,2.86%,$36.44,7.13
A2474,Data Analytics Course,0,3215,$191.22,30,7,0.00%,"$1,588",23/11/2024,Hyderabad,Desktop,Analytics For Data,0.00%,$0.00,0.00%,$27.32,8.30
A2476,Data Analytics Course,103,4670,$203.40,21,4,0.00%,"$1,562",25/11/2024,Hyderabad,Mobile,Analytics For Data,2.21%,$1.97,3.88%,$50.85,7.68
A2477,Data Analytics Course,187,4474,$182.47,10,0,0.00%,"$1,768",13/11/2024,Hyderabad,Tablet,Online Data Analytics,4.18%,$0.98,0.00%,$0.00,9.69
A2478,Data Analytics Course,0,3009,$195.17,0,6,0.00%,"$1,083",23/11/2024,Hyderabad,Tablet,Data Analytics Online,0.00%,$0.00,0.00%,$32.53,5.55
A2479,Data Analytics Course,109,3933,$189.73,11,4,0.00%,"$1,700",7/11/2024,Hyderabad,Desktop,Data Analytics Online,2.77%,$1.74,3.67%,$47.43,8.96
A2480,Data Analytics Course,118,4360,$232.09,10,9,7.60%,"$1,252",13/11/2024,Hyderabad,Desktop,Data Analytics Training,2.71%,$1.97,7.63%,$25.79,5.39
A2481,Data Analytics Course,164,5120,$185.69,10,5,3.10%,"$1,597",23/11/2024,Hyderabad,Tablet,Analytics For Data,3.20%,$1.13,3.05%,$37.14,8.60
A2482,Data Analytics Course,166,3887,$192.00,24,9,5.40%,"$1,890",13/11/2024,Hyderabad,Tablet,Data Analytics Course,4.27%,$1.16,5.42%,$21.33,9.84
A2483,Data Analytics Course,88,3909,$189.57,30,10,11.40%,"$1,750",29/11/2024,Hyderabad,Desktop,Data Analytics Training,2.25%,$2.15,11.36%,$18.96,9.23
A2484,Data Analytics Course,125,3017,$232.51,14,7,0.00%,"$1,510",11/8/2024,Hyderabad,Tablet,Data Analytics Training,4.14%,$1.86,5.60%,$33.22,6.49
A2485,Data Analytics Course,0,5127,$206.95,26,5,0.00%,"$1,902",17/11/2024,Hyderabad,Desktop,Online Data Analytics,0.00%,$0.00,0.00%,$41.39,9.19
A2486,Data Analytics Course,151,3992,$212.42,10,9,6.00%,"$1,890",26/11/2024,Hyderabad,Tablet,Learn Data Analytics,3.78%,$1.41,5.96%,$23.60,8.90
A2487,Data Analytics Course,182,3554,$181.74,18,4,2.20%,"$1,933",2/11/2024,Hyderabad,Tablet,Learn Data Analytics,5.12%,$1.00,2.20%,$45.44,10.64
A2488,Data Analytics Course,84,4051,$196.83,21,4,4.80%,"$1,094",14/11/2024,Hyderabad,Mobile,Online Data Analytics,2.07%,$2.34,4.76%,$49.21,5.56
A2489,Data Analytics Course,127,3541,$239.47,16,10,7.90%,"$1,474",25/11/2024,Hyderabad,Tablet,Data Analytics Training,3.59%,$1.89,7.87%,$23.95,6.16
A2490,Data Analytics Course,104,5878,$228.79,21,3,5.00%,"$1,101",5/11/2024,Hyderabad,Mobile,Data Analytics Course,1.77%,$2.20,2.88%,$76.26,4.81
A2491,Data Analytics Course,161,4611,$228.34,26,7,4.30%,"$1,473",25/11/2024,Hyderabad,Tablet,Data Analytics Online,3.49%,$1.42,4.35%,$32.62,6.45
A2492,Data Analytics Course,141,4764,$187.72,28,4,2.80%,"$1,428",16/11/2024,Hyderabad,Mobile,Analytics For Data,2.96%,$1.33,2.84%,$46.93,7.61
A2493,Data Analytics Course,186,4603,$191.84,26,9,4.70%,"$1,918",11/7/2024,Hyderabad,Desktop,Learn Data Analytics,4.04%,$1.03,4.84%,$21.32,10.00
A2494,Data Analytics Course,0,5003,$195.40,15,7,0.00%,"$1,273",18/11/2024,Hyderabad,Desktop,Data Analytics Training,0.00%,$0.00,0.00%,$27.91,6.51
A2495,Data Analytics Course,124,5212,$190.83,13,6,4.80%,"$1,399",11/7/2024,Hyderabad,Desktop,Data Analytics Course,2.38%,$1.54,4.84%,$31.81,7.33
A2496,Data Analytics Course,97,5285,$249.65,12,7,5.10%,"$1,411",27/11/2024,Hyderabad,Desktop,Data Analytics Training,1.84%,$2.57,7.22%,$35.66,5.65
A2497,Data Analytics Course,111,3177,$224.51,18,8,0.00%,"$1,946",25/11/2024,Hyderabad,Desktop,Learn Data Analytics,3.49%,$2.02,7.21%,$28.06,8.67
A2498,Data Analytics Course,93,5571,$185.71,12,7,7.50%,"$1,630",21/11/2024,Hyderabad,Tablet,Online Data Analytics,1.67%,$2.00,7.53%,$26.53,8.78
A2500,Data Analytics Course,138,5314,$198.39,17,10,7.20%,"$1,250",20/11/2024,Hyderabad,Desktop,Online Data Analytics,2.60%,$1.44,7.25%,$19.84,6.30
A2501,Data Analytics Course,129,4452,$196.06,10,9,5.30%,"$1,069",13/11/2024,Hyderabad,Tablet,Learn Data Analytics,2.90%,$1.52,6.98%,$21.78,5.45
A2502,Data Analytics Course,183,3920,$235.79,20,7,3.80%,"$1,238",17/11/2024,Hyderabad,Mobile,Data Analytics Training,4.67%,$1.29,3.83%,$33.68,5.25
A2503,Data Analytics Course,154,4603,$214.00,20,3,1.90%,"$1,709",18/11/2024,Hyderabad,Tablet,Data Analytics Course,3.35%,$1.39,1.95%,$71.33,7.99
A2504,Data Analytics Course,95,4938,$204.50,12,6,4.60%,"$1,494",18/11/2024,Hyderabad,Tablet,Data Analytics Training,1.92%,$2.15,6.32%,$34.08,7.31
A2505,Data Analytics Course,173,5291,$215.57,23,8,0.00%,"$1,557",13/11/2024,Hyderabad,Mobile,Data Analytics Online,3.27%,$1.25,4.62%,$26.95,7.22
A2506,Data Analytics Course,112,4072,$211.56,17,10,8.90%,"$1,229",1/11/2024,Hyderabad,Desktop,Analytics For Data,2.75%,$1.89,8.93%,$21.16,5.81
A2507,Data Analytics Course,170,5953,$186.11,25,8,0.00%,"$1,080",26/11/2024,Hyderabad,Mobile,Data Analytics Online,2.86%,$1.09,4.71%,$23.26,5.80
A2508,Data Analytics Course,96,4518.5,$232.87,0,10,5.30%,"$1,162",14/11/2024,Hyderabad,Mobile,Learn Data Analytics,2.12%,$2.43,10.42%,$23.29,4.99
A2509,Data Analytics Course,113,3104,$230.92,28,9,8.00%,"$1,422",27/11/2024,Hyderabad,Tablet,Data Analytics Course,3.64%,$2.04,7.96%,$25.66,6.16
A2510,Data Analytics Course,145,4882,$217.25,22,3,2.10%,"$1,814",19/11/2024,Hyderabad,Mobile,Analytics For Data,2.97%,$1.50,2.07%,$72.42,8.35
A2511,Data Analytics Course,83,3212,$243.86,25,4,4.80%,"$1,612",19/11/2024,Hyderabad,Mobile,Data Analytics Course,2.58%,$2.94,4.82%,$60.97,6.61
A2512,Data Analytics Course,90,4973,$181.04,23,5,5.60%,"$1,039",3/11/2024,Hyderabad,Desktop,Online Data Analytics,1.81%,$2.01,5.56%,$36.21,5.74
A2513,Data Analytics Course,140,5227,$222.57,27,3,2.10%,"$1,527",18/11/2024,Hyderabad,Desktop,Learn Data Analytics,2.68%,$1.59,2.14%,$74.19,6.86
A2514,Data Analytics Course,111,5434,$181.05,10,5,4.50%,"$1,627",23/11/2024,Hyderabad,Mobile,Data Analytics Training,2.04%,$1.63,4.50%,$36.21,8.99
A2515,Data Analytics Course,105,3300,$180.25,22,10,9.50%,"$1,640",21/11/2024,Hyderabad,Mobile,Online Data Analytics,3.18%,$1.72,9.52%,$18.03,9.10
A2516,Data Analytics Course,181,4857,$215.59,13,8,4.40%,"$1,883",23/11/2024,Hyderabad,Desktop,Learn Data Analytics,3.73%,$1.19,4.42%,$26.95,8.73
A2517,Data Analytics Course,189,4019,$248.09,16,6,4.50%,"$1,378",30/11/2024,Hyderabad,Tablet,Online Data Analytics,4.70%,$1.31,3.17%,$41.35,5.55
A2518,Data Analytics Course,138,5495,$220.69,19,5,3.60%,"$1,624",4/11/2024,Hyderabad,Tablet,Online Data Analytics,2.51%,$1.60,3.62%,$44.14,7.36
A2519,Data Analytics Course,178,5218,$208.92,20,7,3.90%,"$1,714",25/11/2024,Hyderabad,Mobile,Analytics For Data,3.41%,$1.17,3.93%,$29.85,8.20
A2520,Data Analytics Course,155,5996,$247.54,15,5,3.20%,"$1,883",27/11/2024,Hyderabad,Mobile,Analytics For Data,2.59%,$1.60,3.23%,$49.51,7.61
A2521,Data Analytics Course,168,4932,$198.95,16,7,5.20%,"$1,301",19/11/2024,Hyderabad,Desktop,Data Analytics Training,3.41%,$1.18,4.17%,$28.42,6.54
A2522,Data Analytics Course,152,4498,$233.81,30,6,3.90%,"$1,090",25/11/2024,Hyderabad,Desktop,Data Analytics Online,3.38%,$1.54,3.95%,$38.97,4.66
A2523,Data Analytics Course,111,4164,$191.04,18,9,0.00%,"$1,687",21/11/2024,Hyderabad,Tablet,Data Analytics Training,2.67%,$1.72,8.11%,$21.23,8.83
A2524,Data Analytics Course,141,4329,$230.44,14,6,4.30%,"$1,610",7/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.26%,$1.63,4.26%,$38.41,6.99
A2525,Data Analytics Course,97,5764,$246.15,30,7,0.00%,"$1,345",18/11/2024,Hyderabad,Mobile,Analytics For Data,1.68%,$2.54,7.22%,$35.16,5.46
A2526,Data Analytics Course,82,5430,$205.46,18,5,6.10%,"$1,435",30/11/2024,Hyderabad,Mobile,Online Data Analytics,1.51%,$2.51,6.10%,$41.09,6.98
A2527,Data Analytics Course,164,5179,$206.72,18,9,5.50%,"$1,213",27/11/2024,Hyderabad,Tablet,Data Analytics Course,3.17%,$1.26,5.49%,$22.97,5.87
A2528,Data Analytics Course,109,5707,$246.86,22,4,3.40%,"$1,980",19/11/2024,Hyderabad,Tablet,Data Analytics Online,1.91%,$2.26,3.67%,$61.72,8.02
A2529,Data Analytics Course,126,3263,$237.54,0,9,0.00%,"$1,364",17/11/2024,Hyderabad,Mobile,Data Analytics Online,3.86%,$1.89,7.14%,$26.39,5.74
A2530,Data Analytics Course,175,5718,$225.40,19,6,5.70%,"$1,001",12/11/2024,Hyderabad,Tablet,Analytics For Data,3.06%,$1.29,3.43%,$37.57,4.44
A2531,Data Analytics Course,96,5075,$221.28,25,3,3.80%,"$1,937",23/11/2024,Hyderabad,Desktop,Learn Data Analytics,1.89%,$2.31,3.13%,$73.76,8.75
A2532,Data Analytics Course,113,4473,$202.30,17,5,4.40%,"$1,049",11/8/2024,Hyderabad,Tablet,Online Data Analytics,2.53%,$1.79,4.42%,$40.46,5.19
A2533,Data Analytics Course,96,3979,$232.44,27,7,0.00%,"$1,140",30/11/2024,Hyderabad,Mobile,Learn Data Analytics,2.41%,$2.42,7.29%,$33.21,4.90
A2534,Data Analytics Course,162,5688,$190.31,17,5,3.10%,"$1,556",25/11/2024,Hyderabad,Tablet,Data Analytics Course,2.85%,$1.17,3.09%,$38.06,8.18
A2535,Data Analytics Course,125,3546,$234.02,23,10,0.00%,"$1,072",27/11/2024,Hyderabad,Desktop,Analytics For Data,3.53%,$1.87,8.00%,$23.40,4.58
A2536,Data Analytics Course,89,4188,$206.71,16,4,4.50%,"$1,382",11/1/2024,Hyderabad,Tablet,Online Data Analytics,2.13%,$2.32,4.49%,$51.68,6.69
A2537,Data Analytics Course,99,4134,$234.04,18,3,3.00%,"$1,683",30/11/2024,Hyderabad,Desktop,Learn Data Analytics,2.39%,$2.36,3.03%,$78.01,7.19
A2538,Data Analytics Course,91,4710,$199.18,21,9,9.90%,"$1,431",11/10/2024,Hyderabad,Tablet,Data Analytics Course,1.93%,$2.19,9.89%,$22.13,7.18
A2539,Data Analytics Course,141,4654,$192.19,21,6,4.30%,"$1,932",25/11/2024,Hyderabad,Mobile,Analytics For Data,3.03%,$1.36,4.26%,$32.03,10.05
A2540,Data Analytics Course,110,5509,$245.38,13,8,4.80%,"$1,539",11/10/2024,Hyderabad,Mobile,Learn Data Analytics,2.00%,$2.23,7.27%,$30.67,6.27
A2541,Data Analytics Course,96,3091,$187.57,11,0,0.00%,"$1,737",10/11/2024,Hyderabad,Tablet,Data Analytics Course,3.11%,$1.95,0.00%,$0.00,9.26
A2542,Data Analytics Course,85,4653,$196.73,23,6,7.10%,"$1,032",13/11/2024,Hyderabad,Mobile,Data Analytics Course,1.83%,$2.31,7.06%,$32.79,5.25
A2543,Data Analytics Course,151,5389,$227.07,18,10,5.70%,"$1,318",20/11/2024,Hyderabad,Desktop,Data Analytics Training,2.80%,$1.50,6.62%,$22.71,5.80
A2544,Data Analytics Course,139,5290,$208.43,28,4,5.10%,"$1,022",20/11/2024,Hyderabad,Tablet,Data Analytics Online,2.63%,$1.50,2.88%,$52.11,4.90
A2545,Data Analytics Course,120,3060,$197.96,0,8,6.70%,"$1,679",23/11/2024,Hyderabad,Tablet,Analytics For Data,3.92%,$1.65,6.67%,$24.75,8.48
A2546,Data Analytics Course,109,4444,$219.46,12,9,8.30%,"$1,159",28/11/2024,Hyderabad,Mobile,Data Analytics Training,2.45%,$2.01,8.26%,$24.38,5.28
A2547,Data Analytics Course,145,3509,$181.11,19,10,4.80%,"$1,627",22/11/2024,Hyderabad,Mobile,Online Data Analytics,4.13%,$1.25,6.90%,$18.11,8.98
A2548,Data Analytics Course,151,4675,$183.02,14,7,4.60%,"$1,000",11/10/2024,Hyderabad,Mobile,Analytics For Data,3.23%,$1.21,4.64%,$26.15,5.46
A2549,Data Analytics Course,108,5869,$226.93,16,7,6.50%,"$1,633",3/11/2024,Hyderabad,Desktop,Analytics For Data,1.84%,$2.10,6.48%,$32.42,7.20
A2550,Data Analytics Course,166,3992,$205.90,15,8,4.80%,"$1,899",11/5/2024,Hyderabad,Desktop,Analytics For Data,4.16%,$1.24,4.82%,$25.74,9.22
A2551,Data Analytics Course,134,4172,$191.80,26,5,3.70%,"$1,170",18/11/2024,Hyderabad,Tablet,Online Data Analytics,3.21%,$1.43,3.73%,$38.36,6.10
A2552,Data Analytics Course,104,5926,$224.63,17,8,0.00%,"$1,239",24/11/2024,Hyderabad,Mobile,Learn Data Analytics,1.75%,$2.16,7.69%,$28.08,5.52
A2553,Data Analytics Course,0,5785,$195.39,15,10,0.00%,"$1,296",25/11/2024,Hyderabad,Tablet,Analytics For Data,0.00%,$0.00,0.00%,$19.54,6.63
A2554,Data Analytics Course,160,5664,$210.58,16,9,0.00%,"$1,836",11/7/2024,Hyderabad,Mobile,Data Analytics Training,2.82%,$1.32,5.63%,$23.40,8.72
A2555,Data Analytics Course,147,5930,$248.18,22,10,6.80%,"$1,743",15/11/2024,Hyderabad,Desktop,Analytics For Data,2.48%,$1.69,6.80%,$24.82,7.02
A2556,Data Analytics Course,196,3656,$240.44,15,6,5.20%,"$1,894",3/11/2024,Hyderabad,Tablet,Analytics For Data,5.36%,$1.23,3.06%,$40.07,7.88
A2557,Data Analytics Course,159,5078,$182.57,30,8,5.00%,"$1,541",11/9/2024,Hyderabad,Mobile,Data Analytics Course,3.13%,$1.15,5.03%,$22.82,8.44
A2558,Data Analytics Course,104,5257,$220.44,17,7,5.20%,"$1,462",27/11/2024,Hyderabad,Mobile,Data Analytics Online,1.98%,$2.12,6.73%,$31.49,6.63
A2559,Data Analytics Course,135,5582,$209.14,28,5,3.70%,"$1,912",25/11/2024,Hyderabad,Tablet,Online Data Analytics,2.42%,$1.55,3.70%,$41.83,9.14
A2560,Data Analytics Course,92,3097,$232.27,21,0,0.00%,"$1,905",14/11/2024,Hyderabad,Desktop,Analytics For Data,2.97%,$2.52,0.00%,$0.00,8.20
A2561,Data Analytics Course,136,3657,$236.19,12,5,3.70%,"$1,425",11/6/2024,Hyderabad,Mobile,Online Data Analytics,3.72%,$1.74,3.68%,$47.24,6.03
A2562,Data Analytics Course,135,3198,$227.48,0,6,4.40%,"$1,882",11/9/2024,Hyderabad,Desktop,Online Data Analytics,4.22%,$1.69,4.44%,$37.91,8.27
A2564,Data Analytics Course,181,5343,$244.02,30,9,3.80%,"$1,639",26/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.39%,$1.35,4.97%,$27.11,6.72
A2566,Data Analytics Course,80,5756,$205.38,16,4,5.00%,"$1,778",20/11/2024,Hyderabad,Desktop,Online Data Analytics,1.39%,$2.57,5.00%,$51.35,8.66
A2567,Data Analytics Course,155,5696,$236.44,13,3,1.90%,"$1,207",23/11/2024,Hyderabad,Mobile,Data Analytics Online,2.72%,$1.53,1.94%,$78.81,5.10
A2568,Data Analytics Course,114,5683,$214.42,20,8,7.00%,"$1,474",11/8/2024,Hyderabad,Mobile,Learn Data Analytics,2.01%,$1.88,7.02%,$26.80,6.87
A2569,Data Analytics Course,98,4669,$205.72,16,6,6.10%,"$1,767",30/11/2024,Hyderabad,Desktop,Analytics For Data,2.10%,$2.10,6.12%,$34.29,8.59
A2571,Data Analytics Course,160,3163,$238.95,20,8,5.00%,"$1,569",26/11/2024,Hyderabad,Desktop,Online Data Analytics,5.06%,$1.49,5.00%,$29.87,6.57
A2572,Data Analytics Course,175,3732,$231.25,16,10,5.70%,"$1,014",15/11/2024,Hyderabad,Mobile,Learn Data Analytics,4.69%,$1.32,5.71%,$23.13,4.38
A2573,Data Analytics Course,123,3860,$224.63,24,8,6.50%,"$1,800",15/11/2024,Hyderabad,Desktop,Analytics For Data,3.19%,$1.83,6.50%,$28.08,8.01
A2574,Data Analytics Course,106,3196,$212.12,15,6,0.00%,"$1,314",23/11/2024,Hyderabad,Tablet,Analytics For Data,3.32%,$2.00,5.66%,$35.35,6.19
A2575,Data Analytics Course,0,3322,$205.85,24,4,0.00%,"$1,031",9/11/2024,Hyderabad,Tablet,Data Analytics Training,0.00%,$0.00,0.00%,$51.46,5.01
A2576,Data Analytics Course,185,5121,$215.46,12,9,4.90%,"$1,724",2/11/2024,Hyderabad,Mobile,Data Analytics Course,3.61%,$1.16,4.86%,$23.94,8.00
A2577,Data Analytics Course,139,5610,$239.44,17,6,4.30%,"$1,548",14/11/2024,Hyderabad,Tablet,Online Data Analytics,2.48%,$1.72,4.32%,$39.91,6.47
A2578,Data Analytics Course,174,3890,$186.04,28,7,4.00%,"$1,793",21/11/2024,Hyderabad,Tablet,Online Data Analytics,4.47%,$1.07,4.02%,$26.58,9.64
A2579,Data Analytics Course,157,4671,$248.17,14,7,4.50%,"$1,247",11/3/2024,Hyderabad,Mobile,Data Analytics Training,3.36%,$1.58,4.46%,$35.45,5.02
A2580,Data Analytics Course,160,5438,$197.50,16,6,3.70%,"$1,752",3/11/2024,Hyderabad,Tablet,Data Analytics Course,2.94%,$1.23,3.75%,$32.92,8.87
A2581,Data Analytics Course,198,4726,$185.13,14,0,0.00%,"$1,580",17/11/2024,Hyderabad,Tablet,Learn Data Analytics,4.19%,$0.94,0.00%,$0.00,8.53
A2582,Data Analytics Course,144,5301,$195.83,12,3,0.00%,"$1,654",27/11/2024,Hyderabad,Tablet,Data Analytics Online,2.72%,$1.36,2.08%,$65.28,8.45
A2583,Data Analytics Course,187,3722,$182.43,27,7,3.70%,"$1,613",20/11/2024,Hyderabad,Mobile,Data Analytics Training,5.02%,$0.98,3.74%,$26.06,8.84
A2584,Data Analytics Course,139,3944,$215.57,29,3,2.20%,"$1,863",11/4/2024,Hyderabad,Tablet,Analytics For Data,3.52%,$1.55,2.16%,$71.86,8.64
A2585,Data Analytics Course,194,5123,$180.01,27,5,3.60%,"$1,978",5/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.79%,$0.93,2.58%,$36.00,10.99
A2586,Data Analytics Course,157,4127,$200.44,30,8,5.80%,"$1,044",15/11/2024,Hyderabad,Desktop,Data Analytics Training,3.80%,$1.28,5.10%,$25.06,5.21
A2587,Data Analytics Course,112,4944,$233.83,19,4,3.60%,"$1,296",27/11/2024,Hyderabad,Tablet,Data Analytics Training,2.27%,$2.09,3.57%,$58.46,5.54
A2588,Data Analytics Course,82,4534,$203.89,10,6,7.30%,"$1,589",26/11/2024,Hyderabad,Tablet,Online Data Analytics,1.81%,$2.49,7.32%,$33.98,7.79
A2589,Data Analytics Course,152,5894,$219.23,14,5,3.30%,"$1,641",13/11/2024,Hyderabad,Mobile,Data Analytics Training,2.58%,$1.44,3.29%,$43.85,7.49
A2590,Data Analytics Course,81,5545,$212.89,11,5,6.20%,"$1,818",15/11/2024,Hyderabad,Mobile,Data Analytics Online,1.46%,$2.63,6.17%,$42.58,8.54
A2591,Data Analytics Course,84,5573,$215.57,23,6,7.10%,"$1,656",11/12/2024,Hyderabad,Desktop,Online Data Analytics,1.51%,$2.57,7.14%,$35.93,7.68
A2592,Data Analytics Course,117,3039,$223.72,27,8,6.80%,"$1,340",14/11/2024,Hyderabad,Mobile,Data Analytics Training,3.85%,$1.91,6.84%,$27.97,5.99
